,No.,Title,Artist(s),Year,spo_name,explicit,images,release_date,preview_url
0,1,"""Levitating""",Dua Lipa,2021,Levitating (feat. DaBaby),False,https://i.scdn.co/image/ab67616d0000b273d4daf28d55fe4197ede848be,2020-03-27,https://p.scdn.co/mp3-preview/baa8859b39dc78685642e1adfe60ec5ef8b3a5cf?cid=914d599079cf414bb7441d9c09e8dd1d
1,2,"""Save Your Tears""",The Weeknd and Ariana Grande,2021,Save Your Tears,True,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,2020-03-20,
2,3,"""Blinding Lights""",The Weeknd,2021,Blinding Lights,False,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,2020-03-20,
3,4,"""Mood""",24kGoldn featuring Iann Dior,2021,Mood (feat. iann dior),True,https://i.scdn.co/image/ab67616d0000b27384c53fa832dfa265192419c5,2021-03-26,https://p.scdn.co/mp3-preview/9f4d2e78c5f0ebb373b28f702597b4f344a8310c?cid=914d599079cf414bb7441d9c09e8dd1d
4,5,"""Good 4 U""",Olivia Rodrigo,2021,good 4 u,True,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,2021-05-21,
5,6,"""Kiss Me More""",Doja Cat featuring SZA,2021,Kiss Me More (feat. SZA),True,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,2021-06-25,https://p.scdn.co/mp3-preview/981b61d494e16ae618bbbc1aaafa62a8066530fa?cid=914d599079cf414bb7441d9c09e8dd1d
6,7,"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak),2021,Leave The Door Open,False,https://i.scdn.co/image/ab67616d0000b273fcf75ead8a32ac0020d2ce86,2021-11-11,https://p.scdn.co/mp3-preview/6e905ca8273bd2c5464c35d0ce10da306a86b11b?cid=914d599079cf414bb7441d9c09e8dd1d
7,8,"""Drivers License""",Olivia Rodrigo,2021,drivers license,True,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,2021-05-21,
8,9,"""Montero (Call Me by Your Name)""",Lil Nas X,2021,MONTERO (Call Me By Your Name),True,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,2021-09-17,https://p.scdn.co/mp3-preview/a25aff06d2a2f2cf4c5d8d9a7e45ce50789cab50?cid=914d599079cf414bb7441d9c09e8dd1d
9,10,"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon,2021,Peaches (feat. Daniel Caesar & Giveon),True,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,2021-03-19,
10,11,"""Butter""",BTS,2021,Butter,False,https://i.scdn.co/image/ab67616d0000b273240447f2da1433d8f4303596,2021-06-04,https://p.scdn.co/mp3-preview/e93bc746bea9688b7b1ac5648cd678f74a0d1933?cid=914d599079cf414bb7441d9c09e8dd1d
11,12,"""Stay""",The Kid Laroi and Justin Bieber,2021,STAY (with Justin Bieber),True,https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5,2021-07-09,https://p.scdn.co/mp3-preview/40a8daf1f3cbb5c6363e68de859ba4af3377344c?cid=914d599079cf414bb7441d9c09e8dd1d
12,13,"""Deja Vu""",Olivia Rodrigo,2021,deja vu,True,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,2021-05-21,
13,14,"""Positions""",Ariana Grande,2021,positions,True,https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605,2020-10-30,
