,No.,Title,Artist(s),Year,spo_name,spo_id,explicit,images,release_date,preview_url,itunes_name,apple_id,genre,trackTime,trackView
0,1,"""Levitating""",Dua Lipa,2021,Levitating,5nujrmhLynf4yMoMtj8AQF,False,https://i.scdn.co/image/ab67616d0000b273bd26ede1ae69327010d49946,2020-03-27,https://p.scdn.co/mp3-preview/130e18a8f12e319b06032640c6b75e3881719684?cid=914d599079cf414bb7441d9c09e8dd1d,Levitating (feat. DaBaby),1532788352,Pop,203064,https://music.apple.com/us/album/levitating-feat-dababy/1532788351?i=1532788352&uo=4
1,2,"""Save Your Tears""",The Weeknd and Ariana Grande,2021,Save Your Tears (with Ariana Grande) (Remix),5QO79kh1waicV47BqGRL3g,True,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,2020-03-20,,Save Your Tears,1563812775,R&B/Soul,191014,https://music.apple.com/us/album/save-your-tears-remix/1563812774?i=1563812775&uo=4
2,3,"""Blinding Lights""",The Weeknd,2021,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,False,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,2020-03-20,,Blinding Lights,1499378607,R&B/Soul,200046,https://music.apple.com/us/album/blinding-lights/1499378108?i=1499378607&uo=4
3,4,"""Mood""",24kGoldn featuring Iann Dior,2021,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,True,https://i.scdn.co/image/ab67616d0000b27384c53fa832dfa265192419c5,2021-03-26,https://p.scdn.co/mp3-preview/9f4d2e78c5f0ebb373b28f702597b4f344a8310c?cid=914d599079cf414bb7441d9c09e8dd1d,Mood (feat. iann dior),1584016415,Hip-Hop/Rap,140885,https://music.apple.com/us/album/mood-feat-iann-dior-live/1584016398?i=1584016415&uo=4
4,5,"""Good 4 U""",Olivia Rodrigo,2021,good 4 u,4ZtFanR9U6ndgddUvNcjcG,True,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,2021-05-21,,good 4 u,1560735551,Pop,178148,https://music.apple.com/us/album/good-4-u/1560735414?i=1560735551&uo=4
5,6,"""Kiss Me More""",Doja Cat featuring SZA,2021,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,True,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,2021-06-25,https://p.scdn.co/mp3-preview/981b61d494e16ae618bbbc1aaafa62a8066530fa?cid=914d599079cf414bb7441d9c09e8dd1d,Kiss Me More (feat. SZA),1561866170,Pop,208867,https://music.apple.com/us/album/kiss-me-more-feat-sza/1561866167?i=1561866170&uo=4
6,7,"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak),2021,Leave The Door Open,02VBYrHfVwfEWXk5DXyf0T,False,https://i.scdn.co/image/ab67616d0000b273fcf75ead8a32ac0020d2ce86,2021-11-11,https://p.scdn.co/mp3-preview/6e905ca8273bd2c5464c35d0ce10da306a86b11b?cid=914d599079cf414bb7441d9c09e8dd1d,Leave The Door Open (Live),1560861129,R&B/Soul,260270,https://music.apple.com/us/album/leave-the-door-open-live/1560860885?i=1560861129&uo=4
7,8,"""Drivers License""",Olivia Rodrigo,2021,drivers license,5wANPM4fQCJwkGd4rN57mH,True,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,2021-05-21,,drivers license,1560735424,Pop,242014,https://music.apple.com/us/album/drivers-license/1560735414?i=1560735424&uo=4
8,9,"""Montero (Call Me by Your Name)""",Lil Nas X,2021,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W,True,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,2021-09-17,https://p.scdn.co/mp3-preview/a25aff06d2a2f2cf4c5d8d9a7e45ce50789cab50?cid=914d599079cf414bb7441d9c09e8dd1d,MONTERO (Call Me By Your Name),1560578325,Pop,170055,https://music.apple.com/us/album/montero-call-me-by-your-name-satans-extended-version/1560577954?i=1560578325&uo=4
9,10,"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon,2021,Peaches (feat. Daniel Caesar & Giveon),16hvppQ5OpigORgMtM6cFr,True,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,2021-03-19,,Peaches (feat. Daniel Caesar & GIVĒON),1556175857,Pop,198082,https://music.apple.com/us/album/peaches-feat-daniel-caesar-giv%C4%93on/1556175419?i=1556175857&uo=4
